date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:42	323940/323940	---M--	200	added ('OK')	font/woff	date:Thu,%2027%20Feb%202014%2008:51:14%20GMT	https://demoxml.com/html/educampus/fonts/Lato-Medium.woff	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Lato-Medium.woff	(from https://demoxml.com/html/educampus/fonts/Lato-Medium.css)
11:35:44	272437/272437	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Feb%202014%2008:51:42%20GMT	https://demoxml.com/html/educampus/fonts/Lato-Heavy.eot	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Lato-Heavy.eot	(from https://demoxml.com/html/educampus/fonts/Lato-Heavy.css)
11:35:44	272437/272437	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Feb%202014%2008:51:42%20GMT	https://demoxml.com/html/educampus/fonts/Lato-Heavy.eot?	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Lato-Heavyd41d.eot	(from https://demoxml.com/html/educampus/fonts/Lato-Heavy.css)
11:35:44	328344/328344	---M--	200	added ('OK')	font/woff	date:Thu,%2027%20Feb%202014%2008:51:42%20GMT	https://demoxml.com/html/educampus/fonts/Lato-Heavy.woff	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Lato-Heavy.woff	(from https://demoxml.com/html/educampus/fonts/Lato-Heavy.css)
11:35:45	689952/689952	---M--	200	added ('OK')	font/ttf	date:Thu,%2027%20Feb%202014%2008:51:10%20GMT	https://demoxml.com/html/educampus/fonts/Lato-Medium.ttf	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Lato-Medium.ttf	(from https://demoxml.com/html/educampus/fonts/Lato-Medium.css)
11:35:45	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2015%20Mar%202015%2008:39:20%20GMT	https://demoxml.com/html/educampus/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/glyphicons-halflings-regular.eot	(from https://demoxml.com/html/educampus/css/bootstrap.min.css)
11:35:45	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2015%20Mar%202015%2008:39:20%20GMT	https://demoxml.com/html/educampus/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/glyphicons-halflings-regulard41d.eot	(from https://demoxml.com/html/educampus/css/bootstrap.min.css)
11:35:46	18028/18028	---M--	200	added ('OK')	font/woff2	date:Sun,%2015%20Mar%202015%2008:39:20%20GMT	https://demoxml.com/html/educampus/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/glyphicons-halflings-regular.woff2	(from https://demoxml.com/html/educampus/css/bootstrap.min.css)
11:35:46	23424/23424	---M--	200	added ('OK')	font/woff	date:Sun,%2015%20Mar%202015%2008:39:20%20GMT	https://demoxml.com/html/educampus/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/glyphicons-halflings-regular.woff	(from https://demoxml.com/html/educampus/css/bootstrap.min.css)
11:35:47	712548/712548	---M--	200	added ('OK')	font/ttf	date:Thu,%2027%20Feb%202014%2008:51:40%20GMT	https://demoxml.com/html/educampus/fonts/Lato-Heavy.ttf	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Lato-Heavy.ttf	(from https://demoxml.com/html/educampus/fonts/Lato-Heavy.css)
11:35:47	45404/45404	---M--	200	added ('OK')	font/ttf	date:Sun,%2015%20Mar%202015%2008:39:20%20GMT	https://demoxml.com/html/educampus/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/glyphicons-halflings-regular.ttf	(from https://demoxml.com/html/educampus/css/bootstrap.min.css)
11:35:47	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2015%20Mar%202015%2008:39:20%20GMT	https://demoxml.com/html/educampus/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/glyphicons-halflings-regular.svg	(from https://demoxml.com/html/educampus/css/bootstrap.min.css)
11:35:47	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Jan%202015%2017:52:32%20GMT	https://demoxml.com/html/educampus/fonts/fontawesome-webfont.eot?v=4.3.0	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/fontawesome-webfonte0a5.eot	(from https://demoxml.com/html/educampus/css/font-awesome.min.css)
11:35:48	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Jan%202015%2017:52:32%20GMT	https://demoxml.com/html/educampus/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/fontawesome-webfontd41d.eot	(from https://demoxml.com/html/educampus/css/font-awesome.min.css)
11:35:48	56780/56780	---M--	200	added ('OK')	font/woff2	date:Thu,%2022%20Jan%202015%2017:52:32%20GMT	https://demoxml.com/html/educampus/fonts/fontawesome-webfont.woff2?v=4.3.0	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/fontawesome-webfonte0a5.woff2	(from https://demoxml.com/html/educampus/css/font-awesome.min.css)
11:35:49	71508/71508	---M--	200	added ('OK')	font/woff	date:Thu,%2022%20Jan%202015%2017:52:32%20GMT	https://demoxml.com/html/educampus/fonts/fontawesome-webfont.woff?v=4.3.0	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/fontawesome-webfonte0a5.woff	(from https://demoxml.com/html/educampus/css/font-awesome.min.css)
11:35:50	122092/122092	---M--	200	added ('OK')	font/ttf	date:Thu,%2022%20Jan%202015%2017:52:32%20GMT	https://demoxml.com/html/educampus/fonts/fontawesome-webfont.ttf?v=4.3.0	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/fontawesome-webfonte0a5.ttf	(from https://demoxml.com/html/educampus/css/font-awesome.min.css)
11:35:50	58680/58680	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2019%20Nov%202014%2016:15:08%20GMT	https://demoxml.com/html/educampus/fonts/Pe-icon-7-stroke.eot?d7yf1v	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Pe-icon-7-strokebb1d.eot	(from https://demoxml.com/html/educampus/css/pe-icon-7-stroke.css)
11:35:51	313398/313398	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2022%20Jan%202015%2017:52:32%20GMT	https://demoxml.com/html/educampus/fonts/fontawesome-webfont.svg?v=4.3.0	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/fontawesome-webfonte0a5.svg	(from https://demoxml.com/html/educampus/css/font-awesome.min.css)
11:35:52	58680/58680	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2019%20Nov%202014%2016:15:08%20GMT	https://demoxml.com/html/educampus/fonts/Pe-icon-7-stroke.eot?	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Pe-icon-7-stroked41d.eot	(from https://demoxml.com/html/educampus/css/pe-icon-7-stroke.css)
11:35:53	58556/58556	---M--	200	added ('OK')	font/woff	date:Wed,%2019%20Nov%202014%2016:15:08%20GMT	https://demoxml.com/html/educampus/fonts/Pe-icon-7-stroke.woff?d7yf1v	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Pe-icon-7-strokebb1d.woff	(from https://demoxml.com/html/educampus/css/pe-icon-7-stroke.css)
11:35:53	58480/58480	---M--	200	added ('OK')	font/ttf	date:Wed,%2019%20Nov%202014%2016:15:08%20GMT	https://demoxml.com/html/educampus/fonts/Pe-icon-7-stroke.ttf?d7yf1v	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Pe-icon-7-strokebb1d.ttf	(from https://demoxml.com/html/educampus/css/pe-icon-7-stroke.css)
11:35:53	164020/164020	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Nov%202014%2016:15:08%20GMT	https://demoxml.com/html/educampus/fonts/Pe-icon-7-stroke.svg?d7yf1v	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Pe-icon-7-strokebb1d.svg	(from https://demoxml.com/html/educampus/css/pe-icon-7-stroke.css)
11:35:54	41003/41003	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Dec%202023%2006:05:53%20GMT	https://demoxml.com/html/educampus/css/owl.video.play.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/css/owl.video.play.png	(from https://demoxml.com/html/educampus/css/owl.carousel.css)
11:35:54	5984/5984	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:42:40%20GMT	https://demoxml.com/html/educampus/img/bg_breadcrumb_bottom.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/bg_breadcrumb_bottom.png	(from https://demoxml.com/html/educampus/style.css)
11:35:55	61239/61239	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20May%202015%2005:35:44%20GMT	https://demoxml.com/html/educampus/img/bg_breadcrumb.jpg	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/bg_breadcrumb.jpg	(from https://demoxml.com/html/educampus/style.css)
11:35:55	295/295	---M--	200	added ('OK')	image/png	date:Wed,%2020%20May%202015%2005:46:32%20GMT	https://demoxml.com/html/educampus/img/icon_search.png	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/img/icon_search.png	(from https://demoxml.com/html/educampus/style.css)
